,むかいせな　歌った曲リスト,更新日:,2026/05/27,390,90,208,9,,,279,32,12.0
48,快眠!安眠!スヤリスト生活,かいみん あんみん スヤリストせいかつ,スヤリス姫(CV.水瀬いのり),2,,〇,,2025/11/17,191日,,,
49,風に薫る夏の記憶,かぜにかおるなつのきおく,AAA,2,,〇,,2025/07/18,313日,,,
50,風になる,かぜになる,つじあやの,1,,〇,,2026/03/23,65日,,,
51,奏,かなで,スキマスイッチ,1,〇,,,2025/09/19,250日,,,
52,カヌレ,カヌレ,CHiCO with HoneyWorks,1,,〇,,2025/11/11,197日,,,
53,花瓶に触れた,かびんにふれた,バルーン feat. v flower,2,〇,,,2025/04/22,400日,,,
54,カブトムシ,カブトムシ,aiko,1,,,〇,2025/08/07,293日,,,
55,からくりピエロ,からくりピエロ,40mP feat.初音ミク,1,,〇,,2025/04/30,392日,,,
56,Calc.,カルク,ジミーサムP feat. 初音ミク,2,〇,,,2025/09/19,250日,,,
57,kiss,キス,みきーの(みきとP×keeno) feat. 初音ミク,1,〇,,,2025/04/13,409日,,,
58,キス・ミー・パティシエ,キス・ミー・パティシエ,CANDY TUNE,1,,〇,,2026/02/13,103日,,,
59,KissHug,キスハグ,aiko,1,,〇,,2025/09/02,267日,,,
60,君色に染まる,きみいろにそまる,TOKOTOKO(西沢さんP) feat. GUMI,1,,〇,,2026/01/14,133日,,,
61,君がくれた夏,きみがくれたなつ,家入レオ,1,,〇,,2025/07/18,313日,,,
62,君とtea for two♡,きみと ティー フォー トゥー,わーすた,1,,〇,,2026/05/10,17日,,,
63,君と夏フェス,きみとなつフェス,SHISHAMO,1,,〇,,2025/07/18,313日,,,
64,君の知らない物語,きみのしらないものがたり,Supercell,4,〇,,,2025/12/09,169日,,,
65,逆光,ぎゃっこう,Ado,1,,〇,,2025/09/02,267日,,,
66,Catch You Catch Me,キャッチ ユー キャッチ ミー,グミ(日向めぐみ),1,〇,,,2025/04/13,409日,,,
67,Can Do,キャン ドゥ,GRANRODEO,1,,〇,,2025/11/28,180日,,,
68,きゅるりんしてみて,きゅるりんしてみて,きゅるりんってしてみて,1,,〇,,2025/11/17,191日,,,
69,きょういくばんぐみのテーマ,きょういくばんぐみのテーマ,やみの おねえさん,1,〇,,,2025/05/24,368日,,,
70,境界の彼方,きょうかいのかなた,茅原実里,1,,〇,,2025/04/30,392日,,,
71,キラキラ,キラキラ,aiko,1,,〇,,2025/05/13,379日,,,
72,ギラギラ,ギラギラ,Ado,1,,〇,,2025/09/15,254日,,,
73,禁断少女,きんだんしょうじょ,Juice=Juice,2,,〇,,2026/02/13,103日,,,
74,クイーンオブハート,クイーンオブハート,奏音69 feat. 巡音ルカ,2,,〇,,2026/01/15,132日,,,
75,Good-bye days,グッド バイ デイズ,YUI for 雨音薫,1,,〇,,2026/03/23,65日,,,
76,グリズリーに襲われたら♡,グリズリーにおそわれたら,神宿,1,,〇,,2026/05/10,17日,,,
77,紅蓮華,ぐれんげ,LiSA,1,,〇,,2025/10/02,237日,,,
78,黒猫 ～Adult Black Cat,くろねこ アダルト ブラック キャット,Acid Black Cherry,1,,〇,,2025/08/30,270日,,,
79,群青,ぐんじょう,YOASOBI,1,〇,,,2025/06/03,358日,,,
80,月光花,げっこうか,Janne Da Arc,1,,〇,,2025/09/02,267日,,,
81,Get Wild,ゲット ワイルド,TM NETWORK,1,,〇,,2025/08/30,270日,,,
82,小悪魔だってかまわない！,こあくまだってかまわない,めいちゃん,1,,〇,,2026/01/22,125日,,,
83,恋! ハレイション THE WAR,こい ハレイション ザ ウォー,ワルキューレ,1,,〇,,2025/08/28,272日,,,
84,恋になりたいAQUARIUM,こいになりたいアクアリウム,Aqours,1,,〇,,2025/07/18,313日,,,
85,恋のシグナル Rin rin rin!,こいのシグナル リン リン リン,星空凛(CV.飯田里穂),1,,〇,,2025/12/07,171日,,,
86,恋の魔法,こいのまほう,feat. ぱなまん/TOKOTOKO(西沢さんP),1,,〇,,2025/11/17,191日,,,
87,ゴーストルール,ゴーストルール,DECO*27 feat. 初音ミク,1,,〇,,2025/04/30,392日,,,
88,コールボーイ,コールボーイ,syudou feat. 初音ミク,1,,〇,,2026/01/15,132日,,,
89,ココア,ココア,AAA,1,,〇,,2025/11/21,187日,,,
90,心做し,こころなし,蝶々P feat. GUMI,1,〇,,,2025/06/03,358日,,,
91,心予報,こころよほう,Eve,1,,〇,,2026/02/13,103日,,,
92,God knows...,ゴッド ノウズ,涼宮ハルヒ(CV.平野綾),3,〇,〇,,2025/10/02,237日,,,
93,God Bless You,ゴッド ブレス ユー,ワルキューレ,1,,〇,,2025/12/22,156日,,,
94,コネクト,コネクト,ClariS,3,〇,〇,,2025/11/21,187日,,,
95,桜のあと（all quartets lead to the?）,さくらのあと オール カルテッツ リード トゥ ザ,UNISON SQUARE GARDEN,1,,〇,,2026/03/23,65日,,,
96,錯覚CROSSROADS,さっかくクロスローズ,BiBi(μ's),1,,〇,,2025/12/07,171日,,,
97,サマータイムレコード,サマータイムレコード,じん feat. IA,2,,〇,,2025/08/31,269日,,,
98,さようなら、花泥棒さん,さようなら はなどろぼうさん,メル feat. 初音ミク,1,,,〇,2025/08/07,293日,,,
99,小夜子,さよこ,みきとP feat. 初音ミク,2,〇,,,2025/12/09,169日,,,
100,さよならプリンセス,さよならプリンセス,Kai feat. 初音ミク,1,,〇,,2026/02/09,107日,,,
101,サラマンダー,サラマンダー,DECO*27 feat. 初音ミク,2,,〇,,2026/01/22,125日,,,
102,サリシノハラ,サリシノハラ,みきとP feat.初音ミク,1,,〇,,2025/09/15,254日,,,
103,SUN,サン,星野源,1,〇,,,2025/12/09,169日,,,
104,366日,さんびゃくろくじゅうろくにち,HY,2,〇,,,2025/06/03,358日,,,
105,secret base〜君がくれたもの〜,シークレット ベース きみがくれたもの,ZONE,1,,〇,,2025/08/31,269日,,,
106,栞,しおり,クリープハイプ,1,,〇,,2026/03/23,65日,,,
107,7月のサイダー,しちがつのサイダー,超ときめき♡宣伝部,1,,〇,,2025/08/28,272日,,,
108,CITRUS,シトラス,Da-iCE,1,〇,,,2025/09/19,250日,,,
109,Shout Baby,シャウト ベイビー,緑黄色社会,2,〇,〇,,2025/11/28,180日,,,
110,シャボン玉,シャボンだま,モーニング娘。,1,,〇,,2025/11/17,191日,,,
111,ジャンキーナイトタウンオーケストラ,ジャンキーナイトタウンオーケストラ,すりぃ feat. 鏡音レン,1,〇,,,2025/09/19,250日,,,
112,朱色の砂浜,しゅいろのすなはま,みきとP feat. GUMI,2,〇,〇,,2025/12/07,171日,,,
113,少女レイ,しょうじょれい,みきとP feat. 初音ミク,4,〇,〇,〇,2025/08/28,272日,,,
114,シリョクケンサ,シリョクケンサ,40mP feat. GUMI,1,,〇,,2026/01/22,125日,,,
115,白い恋人達,しろいこいびとたち,桑田佳祐,1,〇,,,2025/12/09,169日,,,
116,しわ,しわ,buzzG feat. GUMI,1,,〇,,2025/09/15,254日,,,
117,真生活,しんせいかつ,案山子 feat. 初音ミク,1,,〇,,2025/12/22,156日,,,
118,sweets parade,スイーツ パレード,髏々宮カルタ(CV.花澤香菜),1,〇,,,2026/02/13,103日,,,
119,sweet&sweet holiday,スイートアンドスイート ホリデー,Printemps,1,,〇,,2026/02/13,103日,,,
120,スイートマジック,スイートマジック,Junky feat. 鏡音リン,3,,〇,,2026/02/09,107日,,,
121,ずうっといっしょ！,ずうっといっしょ,キタニタツヤ,1,〇,,,2025/09/19,250日,,,
122,好き!雪!本気マジック,すき ゆき まじマジック,Mitchie M feat. 初音ミク,2,,〇,,2026/01/22,125日,,,
123,好きって言ってよ,すきっていってよ,Juice=Juice,3,,〇,,2026/02/13,103日,,,
124,スターマイン,スターマイン,Da-iCE,1,,〇,,2025/08/31,269日,,,
125,スターライトパレード,スターライトパレード,SEKAI NO OWARI,2,〇,〇,,2025/12/22,156日,,,
126,Starry Wish,スターリー ウィッシュ,水瀬いのり,1,,〇,,2025/04/30,392日,,,
127,Stellar Stellar,ステラ ステラ,星街すいせい,1,〇,,,2025/07/07,324日,,,
128,Storm in Lover,ストーム イン ラバー,園田海未(CV.三森すずこ)&絢瀬絵里(CV.南條愛乃),1,,〇,,2025/05/12,380日,,,
129,ストロー,ストロー,aiko,1,,〇,,2026/02/09,107日,,,
130,Snow halation,スノー ハレーション,μ's,2,,〇,,2025/12/22,156日,,,
131,星間飛行,せいかんひこう,ランカ・リー＝中島愛,1,〇,,,2025/07/07,324日,,,
132,星座になれたら,せいざになれたら,結束バンド,1,〇,,,2025/09/19,250日,,,
133,青春コンプレックス,せいしゅんコンプレックス,結束バンド,1,〇,,,2025/09/19,250日,,,
134,輝夜の城で踊りたい,せいやのしろでおどりたい,μ's,1,〇,,,2025/04/13,409日,,,
135,世田谷ナイトサファリ,せたがやナイトサファリ,みきとP feat. 初音ミク,3,〇,〇,,2026/01/15,132日,,,
136,創聖のアクエリオン,そうせいのアクエリオン,AKINO,2,,〇,,2025/09/02,267日,,,
137,soldier game,ソルジャー ゲーム,"西木野真姫(CV.Pile),園田海未(CV.三森すずこ)&絢瀬絵里(CV.南條愛乃)",2,〇,〇,,2026/01/15,132日,,,
138,それがあなたの幸せとしても,それがあなたのしあわせとしても,Heavenz feat. 巡音ルカ,2,〇,〇,,2025/09/15,254日,,,
139,ダーリン,ダーリン,須田景凪,3,〇,,,2025/12/09,169日,,,
140,ダイアモンド クレバス,ダイアモンド クレバス,シェリル・ノーム starring May'n,1,,〇,,2025/12/22,156日,,,
141,タイムマシン,タイムマシン,1640mP(164×40mP) feat.初音ミク,2,,〇,,2026/01/22,125日,,,
142,ただ君に晴れ,ただきみにはれ,ヨルシカ,2,,〇,,2025/08/31,269日,,,
143,脱獄,だつごく,Neru feat. 鏡音リン,1,,〇,,2025/04/30,392日,,,
144,CHE.R.RY,チェリー,YUI,2,,〇,,2026/03/23,65日,,,
145,チェリー,チェリー,スピッツ,1,,〇,,2026/02/09,107日,,,
146,チェリボム,チェリボム,SILENT SIREN,2,,〇,,2026/02/09,107日,,,
147,地球最後の告白を,ちきゅうさいごのこくはくを,kemu feat.GUMI,3,〇,,,2025/12/09,169日,,,
148,蝶,ちょう,Acid Black Cherry,1,,〇,,2026/01/15,132日,,,
149,ツインテールは20歳まで♡,ツインテールははたちまで,きゅるりんってしてみて,3,〇,〇,,2025/12/22,156日,,,
150,月陽-ツキアカリ-,ツキアカリ,みきとP feat. GUMI,3,,〇,,2025/10/02,237日,,,
151,月とあたしと冷蔵庫,つきとあたしとれいぞうこ,いきものがかり,2,,〇,,2025/09/02,267日,,,
152,DISCOTHEQUE,ディスコテーク,水樹奈々,1,〇,,,2025/04/22,400日,,,
153,Dec.,ディセンバー,Kanaria feat. GUMI,2,,〇,,2025/11/17,191日,,,
154,天体観測,てんたいかんそく,BUMP OF CHICKEN,1,〇,,,2025/07/07,324日,,,
155,東京,とうきょう,SUPER BEAVER,1,,〇,,2025/11/28,180日,,,
156,東亰浪漫譚,とうきょうろまんたん,KENN,1,,〇,,2025/08/30,270日,,,
157,とくべチュ、して,とくべチュ、して,=LOVE,1,,〇,,2026/02/13,103日,,,
158,とても素敵な六月でした,とてもすてきなろくがつでした,Eight feat. 初音ミク,2,〇,,,2025/07/07,324日,,,
159,ドライフラワー,ドライフラワー,優里,1,〇,,,2025/06/03,358日,,,
160,どりーみんチュチュ,どりーみんチュチュ,emon(Tes.) feat. 巡音ルカ,1,,〇,,2026/02/09,107日,,,
161,"Don't say ""lazy""",ドント セイ レイジー,桜高軽音部,1,,〇,,2025/08/30,270日,,,
162,夏、終わらないで。,なつ おわらないで,桜高軽音部,2,,〇,,2025/07/18,313日,,,
163,"夏色えがおで1,2,Jump!",なついろえがおでワンツージャンプ,μ's,2,,〇,,2025/07/18,313日,,,
164,夏恋花火,なつこいはなび,40mP feat. 初音ミク,3,〇,〇,,2025/08/31,269日,,,
165,夏祭り,なつまつり,JITTERIN'JINN(cover Whiteberry),1,,〇,,2025/07/18,313日,,,
166,名前のない怪物,なまえのないかいぶつ,EGOIST,3,,〇,,2026/01/15,132日,,,
167,涙目爆発音,なみだめばくはつおん,ワルキューレ,1,,〇,,2025/12/07,171日,,,
168,猫,ねこ,DISH//,1,,,〇,2025/08/07,293日,,,
169,No Logic,ノー ロジック,ジミーサムP feat. 巡音ルカ,1,〇,,,2025/04/22,400日,,,
170,ノーザンクロス,ノーザンクロス,シェリル・ノーム starring May'n,1,,〇,,2025/10/02,237日,,,
171,背景、夏に溺れる,はいけい、なつにおぼれる,n-buna feat. 初音ミク,1,〇,,,2025/06/03,358日,,,
172,倍倍FIGHT!,ばいばいファイト,CANDY TUNE,1,,〇,,2026/02/13,103日,,,
173,初めての恋が終わる時,はじめてのこいがおわるとき,ryo(supercell) feat.初音ミク,3,,〇,,2026/02/09,107日,,,
174,八月、某、月明かり,はちがつ ぼう つきあかり,ヨルシカ,1,,〇,,2025/08/31,269日,,,
175,八月の夜,はちがつのよる,SILENT SIREN,1,,〇,,2025/08/31,269日,,,
176,初恋サイダー,はつこいサイダー,Buono!,2,〇,〇,,2026/05/10,17日,,,
177,ハッピー・ジャムジャム,ハッピー・ジャムジャム,"しまじろう(CV.南央美),とりっぴい(CV.山崎たくみ),みみりん(CV.高橋美紀),らむりん(CV.杉本沙織)",3,〇,〇,,2026/03/23,65日,,,
178,花火,はなび,aiko,1,,〇,,2025/07/18,313日,,,
179,ハナミズキ,ハナミズキ,一青窈,1,,,〇,2025/08/07,293日,,,
180,ハピチョコ,ハピチョコ,FRUITS ZIPPER,1,,〇,,2026/02/13,103日,,,
181,ハプニング,ハプニング,Nissy(西島隆弘),1,,〇,,2025/05/13,379日,,,
182,破滅の純情,はめつのじゅんじょう,ワルキューレ,1,〇,,,2025/04/22,400日,,,
183,晴る,はる,ヨルシカ,1,,〇,,2026/03/23,65日,,,
184,春泥棒,はるどろぼう,ヨルシカ,2,,〇,,2026/03/23,65日,,,
185,春を告げる,はるをつげる,yama,1,,〇,,2026/03/23,65日,,,
186,バレリーコ,バレリーコ,みきとP feat. GUMI,2,,〇,,2025/11/17,191日,,,
187,HELLO ～Paradise Kiss～,ハロー パラダイス キス,YUI,1,,〇,,2026/03/23,65日,,,
188,晩餐歌,ばんさんか,tuki.,1,,,〇,2025/08/07,293日,,,
189,ひたむきシンデレラ!,ひたむきシンデレラ,CUTIE STREET,1,,〇,,2025/05/12,380日,,,
190,微炭酸,びたんさん,Juice=Juice,1,,〇,,2025/08/28,272日,,,
191,「ひとりで生きられそう」ってそれってねぇ、褒めているの?,ひとりでいきられそうってそれってねぇ、ほめてるの,Juice=Juice,2,,〇,,2025/11/28,180日,,,
192,ヒバナ,ヒバナ,DECO*27 feat. 初音ミク,1,,〇,,2025/04/30,392日,,,
193,ひまわりの約束,ひまわりのやくそく,秦基博,2,〇,,〇,2025/08/07,293日,,,
194,115万キロのフィルム,ひゃくじゅうごまんキロのフィルム,Official髭男dism,1,,〇,,2025/05/13,379日,,,
195,秒針を噛む,びょうしんをかむ,ずっと真夜中でいいのに。,2,,〇,,2025/10/02,237日,,,
196,ヒロイン,ヒロイン,back number,1,,〇,,2025/11/11,197日,,,
197,ファンサ,ファンサ,mona(CV.夏川椎菜) feat.HoneyWorks,2,〇,〇,,2026/01/22,125日,,,
198,フィクサー,フィクサー,ぬゆり feat. v flower,3,〇,〇,,2025/12/07,171日,,,
199,フォニイ,フォニイ,ツミキ feat. 可不,1,,〇,,2025/08/28,272日,,,
200,不可思議のカルテ,ふかしぎのカルテ,"桜島麻衣(CV.瀬戸麻沙美),古賀朋絵(CV.東山奈央),双葉理央(CV.種崎敦美),豊浜のどか(CV.内田真礼),梓川かえで(CV.久保ユリカ),牧之原翔子(CV.水瀬いのり)",2,〇,,,2025/09/19,250日,,,
201,ふでペン ～ボールペン～,ふでぺん ボールペン,放課後ティータイム,1,,〇,,2025/04/30,392日,,,
202,冬の日,ふゆのひ,放課後ティータイム,1,,〇,,2026/02/09,107日,,,
203,フライディ・チャイナタウン,フライディ・チャイナタウン,Ms.OOJA,1,,〇,,2025/11/21,187日,,,
204,プライド・ブライト,プライド・ブライト,Juice=Juice,1,,〇,,2025/10/02,237日,,,
205,フラジール,フラジール,ぬゆり feat. GUMI,4,〇,〇,,2026/01/15,132日,,,
206,プラトニック・プラネット,プラトニック・プラネット,Juice=Juice,1,,〇,,2025/10/02,237日,,,
207,プラネテス,プラネテス,"seiza,ねこぼーろ feat. 初音ミク",1,〇,,,2025/05/24,368日,,,
208,フリージア,フリージア,Uru,2,,〇,,2025/12/22,156日,,,
209,FREELY TOMORROW,フリーリー トゥモロー,Mitchie M feat. 初音ミク,1,〇,,,2025/09/19,250日,,,
210,ぶる〜べりぃ♡とれいん,ぶる〜べりぃ とれいん,南ことり(CV.内田彩),1,,〇,,2026/05/10,17日,,,
211,ふわふわ時間,ふわふわたいむ,放課後ティータイム,1,,〇,,2025/04/30,392日,,,
212,僕らの戦場,ぼくらのせんじょう,ワルキューレ,1,〇,〇,,2025/04/22,400日,,,
213,ホシアイ,ホシアイ,レフティーモンスターP feat.GUMI,1,〇,,,2025/07/07,324日,,,
214,星が瞬くこんな夜に,ほしがまたたくこんなよるに,supercell,1,〇,,,2025/07/31,300日,,,
215,星に願いを,ほしにねがいを,flumpool,1,,〇,,2025/11/11,197日,,,
216,HOT LIMIT,ホット リミット,T.M.Revolution,1,,〇,,2025/08/31,269日,,,
217,ポニーテールとシュシュ,ポニーテールとシュシュ,AKB48,1,,〇,,2025/08/31,269日,,,
218,Mermaid festa vol.2 ～Passionate～,マーメイド フェスタ ボリュームツー パッショネート,高坂穂乃果(CV.新田恵海)&星空凛(CV.飯田里穂) ,1,,〇,,2025/05/12,380日,,,
219,Mermaid festa vol.1,マーメイド フェスタ ボリュームワン,μ's,1,,〇,,2025/05/12,380日,,,
220,MY舞☆TONIGHT,マイまいトゥナイト,Aqours,1,,〇,,2025/07/18,313日,,,
221,真夏の果実,まなつのかじつ,サザンオールスターズ,1,,〇,,2025/07/18,313日,,,
222,真夏のSounds good!,まなつのサウンズ グッド,AKB48,1,,〇,,2025/08/31,269日,,,
223,魔法少女とチョコレゐト,まほうしょうじょとチョコレイト,ピノキオピー feat. 初音ミク,1,,〇,,2026/02/09,107日,,,
224,マリーゴールド,マリーゴールド,あいみょん,1,,,〇,2025/08/07,293日,,,
225,丸の内サディスティック,まるのうちサディスティック,椎名林檎,1,〇,,,2025/04/22,400日,,,
226,回る空うさぎ,まわるそらうさぎ,Orangestar feat. 初音ミク,4,〇,〇,,2026/01/14,133日,,,
227,ミカヅキ,ミカヅキ,さユり,1,,〇,,2025/09/02,267日,,,
228,三日月,みかづき,絢香,1,,〇,,2025/09/02,267日,,,
229,蜜月アン・ドゥ・トロワ,みつげつアン・ドゥ・トロワ,DATEKEN feat. 鏡音リン,2,〇,,,2025/09/02,267日,,,
230,ムーンライト伝説,ムーンライトでんせつ,DALI,1,,〇,,2025/09/02,267日,,,
231,めにしゅき♡ラッシュっしゅ!,めにしゅき ラッシュっしゅ,"カレンチャン(CV.篠原侑),スティルインラブ(CV.宮下早紀),フサイチパンドラ(CV.佳原萌枝),アドマイヤグルーヴ(CV.鈴木日菜),ラッキーライラック(CV.中島由貴),ラヴズオンリーユー(CV.久保田未夢),ステイゴールド(CV.松田颯水)",1,,〇,,2025/12/22,156日,,,
232,メリクリ,メリクリ,BoA,1,〇,,,2025/12/09,169日,,,
233,メルト,メルト,ryo(supercell) feat. 初音ミク,3,,〇,,2025/12/22,156日,,,
234,メロウ,メロウ,須田景凪,1,〇,,,2025/05/24,368日,,,
235,妄想疾患■ガール,もうそうしっかんやみガール,"もじゃ,れるりり feat. GUMI",1,〇,,,2025/09/19,250日,,,
236,"もぎゅっと""love""で接近中!",もぎゅっと ラブ でせっきんちゅう,μ's,1,,〇,,2026/02/13,103日,,,
237,モザイクロール,モザイクロール,DECO*27 feat. GUMI,1,,〇,,2026/01/22,125日,,,
238,Mon Amour,モナムール,Juice=Juice,1,,〇,,2025/05/12,380日,,,
239,モニタリング,モニタリング,DECO*27 feat. 初音ミク,3,,〇,,2025/09/15,254日,,,
240,モノクロのキス,モノクロのキス,シド,3,〇,〇,,2026/01/15,132日,,,
241,桃色片想い,ももいろかたおもい,松浦亜弥,1,,〇,,2026/05/10,17日,,,
242,盛れ!ミ・アモーレ,もれ ミ・アモーレ,Juice=Juice,1,,〇,,2026/01/15,132日,,,
243,優しい彗星,やさしいすいせい,YOASOBI,1,,〇,,2026/01/14,133日,,,
244,ヤミタイガール,ヤミタイガール,れるりり feat. GUMI,2,〇,,,2025/09/19,250日,,,
245,U&I,ユーアンドアイ,放課後ティータイム,1,〇,,,2025/04/22,400日,,,
246,夕立のりぼん,ゆうだちのりぼん,みきとP feat. MAYU,1,,〇,,2025/10/02,237日,,,
247,幽霊東京,ゆうれいとうきょう,Ayase feat. 初音ミク,1,,〇,,2025/12/07,171日,,,
248,雪の華,ゆきのはな,中島美嘉,1,,〇,,2025/11/11,197日,,,
249,夢花火,ゆめはなび,まふまふ feat. IA,1,,〇,,2025/08/31,269日,,,
250,ゆるふわ樹海ガール,ゆるふわじゅかいガール,石風呂 feat.初音ミク,1,〇,,,2025/09/19,250日,,,
251,夜明けと蛍,よあけとほたる,n-buna feat.初音ミク,1,,〇,,2025/08/28,272日,,,
252,夜空はなんでも知ってるの?,よぞらはなんでもしってるの,CYaRon!,1,,〇,,2025/07/18,313日,,,
253,YONAKI,ヨナキ,みきとP feat. 可不,1,〇,,,2025/04/13,409日,,,
254,夜もすがら君想ふ,よもすがらきみおもう,OKOTOKO(西沢さんP) feat. GUMI,4,〇,,〇,2026/01/14,133日,,,
255,夜紛い,よるまがい,ヨルシカ,1,,〇,,2025/05/12,380日,,,
256,ライラック,ライラック,Mrs. GREEN APPLE,1,〇,,,2025/04/22,400日,,,
257,ラヴィ,ラヴィ,"すりぃ feat,鏡音レン",1,,〇,,2026/01/15,132日,,,
258,Love marginal,ラブ マージナル,Printemps,1,,〇,,2025/05/12,380日,,,
259,ラブカ?,ラブカ,柊キライ feat. v flower,2,,〇,,2026/01/15,132日,,,
260,ラブソングに襲われる,ラブソングにおそわれる,=LOVE,2,,〇,,2026/02/13,103日,,,
261,LOVELESS WORLD,ラブレス ワールド,μ's,1,,〇,,2025/12/07,171日,,,
262,林檎売りの泡沫少女,りんごうりのうたかたしょうじょ,yukkedoluce feat. GUMI,2,〇,,,2025/09/19,250日,,,
263,ルーマー,ルーマー,ポリスピカデリー feat. GUMI,1,,〇,,2025/09/15,254日,,,
264,look at the sea,ルック アット ザ シー,おいしくるメロンパン,1,,〇,,2025/05/13,379日,,,
265,ルンがピカッと光ったら,ルンがピカッとひかったら,ワルキューレ,2,〇,,,2025/12/07,171日,,,
266,レイン,レイン,シド,1,,〇,,2026/03/23,65日,,,
