配信回数,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
7,輝夜の城で踊りたい,花瓶に触れた,モニタリング,"夏色えがおで1,2,Jump!",ハプニング,小夜子,雨とカプチーノ,とても素敵な六月でした,花火,Shout Baby,さようなら、花泥棒さん,Absolute 5,東亰浪漫譚,イケナイ太陽,回る空うさぎ,モニタリング,星座になれたら,世田谷ナイトサファリ,モノクロのキス,シャボン玉,アイオライト,東京,LOVELESS WORLD,明け星,ラブソングに襲われる,I wonder,フラジール,ワールドイズマイン,チェリボム,恋愛裁判,HELLO ～Paradise Kiss～,,,,,,,,,,,,,,,,,,,
8,soldier game,DISCOTHEQUE,ゴーストルール,Storm in Lover,あの夢をなぞって,きょういくばんぐみのテーマ,それがあなたの幸せとしても,Stellar Stellar,夏祭り,irony,夜もすがら君想ふ,恋! ハレイション THE WAR,クイーンオブハート,ポニーテールとシュシュ,蜜月アン・ドゥ・トロワ,ワールド・ランプシェード,青春コンプレックス,夕立のりぼん,回る空うさぎ,ツインテールは20歳まで♡,禁断少女,「ひとりで生きられそう」ってそれってねぇ、褒めているの?,私たちは未来の花,君の知らない物語,メルト,回る空うさぎ,コールボーイ,サラマンダー,CHE.R.RY,好きって言ってよ,桜のあと（all quartets lead to the?）,,,,,,,,,,,,,,,,,,,
9,一度だけの恋なら,U&I,ヒバナ,Love marginal,エイリアンズ,プラネテス,ウィアートル,,君がくれた夏,アヤノの幸福理論,少女レイ,7月のサイダー,フラジール,真夏のSounds good!,アポロ,ルーマー,ずうっといっしょ！,月陽-ツキアカリ-,,きゅるりんしてみて,泡沫サタデーナイト!,好きって言ってよ,恋のシグナル Rin rin rin!,小夜子,真生活,,世田谷ナイトサファリ,小悪魔だってかまわない！,チェリー,禁断少女,栞,,,,,,,,,,,,,,,,,,,
10,God knows...,僕らの戦場,命のユースティティア,Absolute 5,月とあたしと冷蔵庫,,とても素敵な六月でした,,夏、終わらないで。,,,微炭酸,Get Wild,スターマイン,月陽-ツキアカリ-,それがあなたの幸せとしても,ヤミタイガール,God knows...,,秋のあなたの空遠く,フライディ・チャイナタウン,大阪LOVER,涙目爆発音,,ワールド・ランプシェード,,盛れ!ミ・アモーレ,ファンサ,スイートマジック,とくべチュ、して,風になる,,,,,,,,,,,,,,,,,,,
11,地球最後の告白を,破滅の純情,サマータイムレコード,夜紛い,,,背景、夏に溺れる,,青い珊瑚礁,,,エメラルドシティ,,八月の夜,月光花,,妄想疾患■ガール,射手座☆午後九時Don't be late,,エメラルドシティ,ワールド・ランプシェード,ハッピー・ジャムジャム,ルンがピカッと光ったら,,God Bless You,,蝶,,,ラブソングに襲われる,あの夢をなぞって,,,,,,,,,,,,,,,,,,,
12,コネクト,366日,メルト,ただ君に晴れ,,,ワールド・ランプシェード,,真夏の果実,,,快眠!安眠!スヤリスト生活,,secret base〜君がくれたもの〜,逆光,,ゆるふわ樹海ガール,名前のない怪物,,快眠!安眠!スヤリスト生活,Snow halation,,,,ダイアモンド クレバス,,クイーンオブハート,,,sweets parade,レイン,,,,,,,,,,,,,,,,,,,
13,君の知らない物語,ライラック,ロミオとシンデレラ,Mon Amour,,,不可思議のカルテ,,モニタリング,,,,,夏恋花火,ムーンライト伝説,,FREELY TOMORROW,,,,,,,,フリージア,,名前のない怪物,,,,,,,,,,,,,,,,,,,,,,,
14,ルンがピカッと光ったら,怪獣の花唄,脱獄,ひたむきシンデレラ!,,,,,創聖のアクエリオン,,,,,,月とあたしと冷蔵庫,,ダーリン,,,,,,,,おくすり飲んで寝よう,,,,,,,,,,,,,,,,,,,,,,,,,
15,少女レイ,No Logic,月陽-ツキアカリ-,,,,,,"夏色えがおで1,2,Jump!",,,,,,KissHug,,フィクサー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,朱色の砂浜,Calc.,アイオライト,,,,,,恋になりたいAQUARIUM,,,,,,,,ジャンキーナイトタウンオーケストラ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,kiss,地球最後の告白を,ふわふわ時間,,,,,,MY舞☆TONIGHT,,,,,,,,林檎売りの泡沫少女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,YONAKI,おやすみ泣き声、さよなら歌姫,ふでペン ～ボールペン～,,,,,,夜空はなんでも知ってるの?,,,,,,,,おくすり飲んで寝よう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,蜜月アン・ドゥ・トロワ,不可思議のカルテ,エメラルドシティ,,,,,,オリオンをなぞる,,,,,,,,不可思議のカルテ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,明日への手紙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,フリージア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,ウィアートル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,風に薫る夏の記憶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
